number,date,title,length,inKey,tempo,topic,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,mood,spotify,itunes,bandcamp,tags
106,4/16/2009,Keyboard Shortcuts,0:24,G,90,Nerd,Berkeley,"Vocals, Acoustic Guitar, Drum Machine",N/A,https://www.youtube.com/watch?v=gVT9SToJsMI,This is a request by a VERY old friend named Nina. We used to play together as kids! I really like the way it came out! Shortest song a day song yet!! Wahoo!!,Produced,,,,Chill,https://open.spotify.com/track/61ccMlrcb6RS957fyEgsTa,https://itunes.apple.com/ph/album/keyboard-shortcuts/1133048770?i=1133048959,https://jonathanmann.bandcamp.com/track/keyboard-shortcuts,"Ambient,Silly "
107,4/17/2009,Ringtone for Michaela,0:54,C,60,Ringtone,Berkeley,"Vocals, Piano, Drum Machine",Clean,https://www.youtube.com/watch?v=EY9vn2mXIsc,Ringtone for MIchaela who likes wolves!,Produced,,,,Pensive,https://open.spotify.com/track/6S5Duho4ZCpqhC49koKS3o,https://itunes.apple.com/ph/album/michaela/1133048770?i=1133048960,https://jonathanmann.bandcamp.com/track/ringtone-for-michaela,"Rock, Person, Wistful "
108,4/18/2009,Torture Memos: Waterboarding,2:08,D,76,Politics,Berkeley,"Vocals, Acoustic Guitar, Piano, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=sJSXbA9j0Js,"For this song, I took language directly from the torture memos. Lyrics below.",Produced,,,,Angry,https://open.spotify.com/track/5ate0SZfq2pmoPfU6H7sjT,https://itunes.apple.com/ph/album/torture-memos-waterboarding/1133048770?i=1133048961,https://jonathanmann.bandcamp.com/track/torture-memos-waterboarding,"Rock, Dark, Songify, Political, SJW"
109,4/19/2009,"I am israel, I am Palestine",3:54,F#,67,Politics,Berkeley,"Vocals, Acoustic Guitar, Electric Guitar, Bass, Shaker",Clean,https://www.youtube.com/watch?v=paFtzERJ8hM,It's many an artist's dream/nightmare to try to tackle really big issues in their art.,Produced,,,,Pensive,https://open.spotify.com/track/3eZBzbvAddiEG0cRP8AKnt,https://itunes.apple.com/ph/album/i-am-israel-i-am-palestine/1133048770?i=1133048962,https://jonathanmann.bandcamp.com/track/i-am-israel-i-am-palestine,"Folk, Political, Middle East, Israel, Palestine"
110,4/20/2009,Cannabis Criminalization: a Short History in Song,3:42,Eb,114,Politics,Berkeley,"Vocals, Electric Guitar, Shaker",Shadow,https://www.youtube.com/watch?v=cNYbrO9OWP4,Just like the title says. ,Produced,,,,"Silly
",https://open.spotify.com/track/4m5dwP9tuoA4XhA28yPXGT,https://itunes.apple.com/ph/album/cannabis-criminalization-a-short-history-in-song/1133048770?i=1133048963,https://jonathanmann.bandcamp.com/track/cannabis-criminalization-a-short-history-in-song,"Country,Funny, Political, History, Educational"
111,4/21/2009,Wren the Polyamorous Polar Bear and His Story of Redemtion,2:49,E,110,Animals,Berkeley,"Vocals, Acoustic Guitar, Piano, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=ivfyckWwbww,"“Wren The Polyamorous Polar Bear And His Story of Redemption” I started to write a song about Earthday, and this is what came out.",Produced,,,,Silly,https://open.spotify.com/track/7r3sjATFmkNBR4MH9YspVD,https://itunes.apple.com/ph/album/wren-the-polyamorous-polar-bear-and-his-story-of-redemtion/1133048770?i=1133048964,https://jonathanmann.bandcamp.com/track/wren-the-polyamorous-polar-bear-and-his-story-of-redemtion,"Rock,Narrative, Funny, Nerd, Bear, Polar Bear"
112,4/22/2009,Fire Engine Red,2:23,F,116,Commission,Berkeley,"Vocals, Acoustic Guitar, Organ, Piano, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=_ekL68m7fMw,#113 is a song request by the folks at www.fire-engine-red.com! They make admissions software for college websites...and they make it passionately.,Produced,,,,Intense,https://open.spotify.com/track/37lVGswhfZ8WDryLZN1FSv,https://itunes.apple.com/ph/album/fire-engine-red/1133048770?i=1133048965,https://jonathanmann.bandcamp.com/track/fire-engine-red,"Rock, Heavy, Company "
113,4/23/2009,Spintown,1:40,G,140,Commission,Berkeley,"Vocals, Acoustic Guitar, Organ, Piano, Samples, Drum Machine",N/A,https://www.youtube.com/watch?v=rFc3ew0BRnQ,This is a song request from Travis Langworthy of www.spintown79.blogspot.com. He wanted a theme song! I got the archival square-dance footage from www.archive.org!! Awesome!,Produced,,,,Silly,https://open.spotify.com/track/20pWu7jGTeejcNAIKXkMMY,https://itunes.apple.com/ph/album/spintown/1133048770?i=1133048966,https://jonathanmann.bandcamp.com/track/spintown,"Rock, Heavy, Fun, Internet"
114,4/24/2009,Lindsay McCove,0:35,C,120,Internet,Berkeley,"Vocals, Electric Guitar, Samples",Clean,https://www.youtube.com/watch?v=dvBDbdhCi4E,It's short!,Produced,,,,Silly,https://open.spotify.com/track/3r1WUVlDZIfGgQdv8xti3m,https://itunes.apple.com/ph/album/lindsay-mccove/1133048770?i=1133048967,https://jonathanmann.bandcamp.com/track/lindsay-mccove,"Folk, Distortion, Person, Web Series, Dating"
115,4/25/2009,"Steve, the Hippo With Multiple Personalities",2:34,C,140,Animals,Berkeley,"Vocals, Piano, Electric Guitar, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=QHwckqyrza4,"This is the story of a sad little Hippo, that nobody liked, because he was strange. He had multiple personalities. But one night a month, when the moon is full, Steve, the Hippo with multiple personalities rocks the jungle like no one else. And for that, he is respected.",Produced,,,,Silly,https://open.spotify.com/track/3yrgC4ZbdIqIoJVlDtAcNb,https://itunes.apple.com/ph/album/steve-the-hippo-and-his-multiple-personalities/1133048770?i=1133048968,https://jonathanmann.bandcamp.com/track/steve-the-hippo-with-multiple-personalities,"Rock, Fun,Narrative, Funny, Nerd, Hippo"
116,4/26/2009,Ringtone for Liam and Keane's Dad!,0:33,E,120,Ringtone,Berkeley,"Vocals, Piano, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=WpQ4KyQE0aI,"#118 comes in the form of a birthday ring tone request from Liam and Keane, for their papa! Here it is!",Produced,,,,Silly,https://open.spotify.com/track/73LpqKZdasxrw083yMtKjM,https://itunes.apple.com/ph/album/liam-and-keanes-dad/1133048770?i=1133048969,https://jonathanmann.bandcamp.com/track/ringtone-for-liam-and-keanes-dad,"Rock, Fun, Person"
117,4/27/2009,Don't Let Your Ovaries Get You Down,1:03,Bb,106,Life,Berkeley,"Vocals, Acoustic Guitar, Electric Guitar, Samples, Drum Machine",N/A,https://www.youtube.com/watch?v=PgQY-8RETeE,"This one features my multi-talented, wonderful, sexy, awesome, beautiful girlfriend Ivory! A friend of hers was complaining the other day that she couldn't hang out because of her period-pains, and so Ivory said, ""Hey! Don't let your ovaries get you down!""...and then she looked at me and said it should be a song. And I agreed.",Produced,,,,Intense,https://open.spotify.com/track/1I4xEJeySStkxvNwQBMI8f,https://itunes.apple.com/ph/album/dont-let-your-ovaries-get-you-down/1133048770?i=1133048970,https://jonathanmann.bandcamp.com/track/dont-let-your-ovaries-get-you-down,"Rock, Fun, Motivational, Nerd, Health, Ivory King"
118,4/28/2009,Swine Flu: the Musical,1:58,A,90,Politics ,Berkeley,"Vocals, Piano, Electric Guitar, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=sgBm8jvg-bs,"You knew it was coming... the obligatory Jonathan Mann Swine Flu Musical!! Now, I'm not trying to say that it isn't something to be worried about necessarily, I just hate how ""the media"", (cable news, the Huffington Post, NPR, etc) give us just enough information to freak us out but no",Produced,,,,Silly,https://open.spotify.com/track/2H47rsxYj7kQbpJpU59Blh,https://itunes.apple.com/ph/album/swine-flu-the-musical/1133048770?i=1133048971,https://jonathanmann.bandcamp.com/track/swine-flu-the-musical,"Rock,Funny, Political, Health"
119,4/29/2009,Lost in the Tubes! a PSA in Song,1:44,C,150,Internet,Berkeley,"Vocals, Piano, Electric Guitar, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=YNB5kZkvLP8,"About the dangers of getting lost in the tubes...the INTERtubes, that is. What's the remedy? Watch and find out!",Produced,,,,Silly,https://open.spotify.com/track/5sMLiOn9YENLTqB0MRfQrc,https://itunes.apple.com/ph/album/lost-in-the-tubes-a-psa-in-song/1133048770?i=1133048972,https://jonathanmann.bandcamp.com/track/lost-in-the-tubes-a-psa-in-song,"Electro, Fun, Dancing, Motivational, Nerd, Internet"
120,4/30/2009,The Continuing Adventures of Bulldog and the Dude,1:41,Am,105,Commission,Berkeley,"Vocals, Piano, Electric Guitar, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=Mj1XlFVUURk,"I was on the radio this morning! In Maryland. At 6:30am my time. I was a little out of it. But, I do remember ""Bulldog and The Dude: Rude Awakening Show"" on WOCM and www.irieradio.com...and I remember that they requested a song! So I obliged!",Produced,,,,Silly,https://open.spotify.com/track/0SK0bsCVptDw8akN3mITZm,https://itunes.apple.com/ph/album/the-continuing-adventures-of-bulldog-and-the-dude/1133048770?i=1133048973,https://jonathanmann.bandcamp.com/track/the-continuing-adventures-of-bulldog-and-the-dude,"Country, Fun, Person, Silly, Famous Person, Radio"
121,5/1/2009,"To: Sarah and Mike From: Meredith
and Adam re: Sorry About your bikes",1:11,C,120,Commission,Berkeley,"Vocals, Piano, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=AHafu9FjIcE,"Here's the request I received: ""I was thinking a song by you would be a great way to apologize to our friends Sarah and Mike who got their bikes stolen from outside our apartment while we were all out getting dinner at the secret bibimbop place (they don't have a store front and it's hard to find, but it's really excellent). We feel extra bad because they're training for a cross country bike trip this summer and now have to buy fancy new bikes. They were super nice about it, but we could tell it really stressed them out.""",Produced,,,,Sad ,https://open.spotify.com/track/2pJguppkp10GDj7UefOt3R,https://itunes.apple.com/ph/album/sorry-about-your-bikes/1133048770?i=1133048974,https://jonathanmann.bandcamp.com/track/to-sarah-and-mike-from-meredith-and-adam-re-sorry-about-your-bikes,"Rock, Person, Fun, Apology"
122,5/2/2009,Happy Birthday Shaista,2:23,B,116,Friend,Berkeley,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=7hMjEwUcceg,"Today is my friend Shaista's birthday party, and so, along with her boyfriend, I wrote her a song! And everyone sang! Yay!",Acoustic,,,,Happy,https://open.spotify.com/track/5NPdts2edpSyTz9K4O9phJ,https://itunes.apple.com/ph/album/happy-birthday-shaista/1133048770?i=1133048975,https://jonathanmann.bandcamp.com/track/happy-birthday-shaista,"Folk, Person, Fun, Birthday"
123,5/3/2009,We Are Pattern Machines,2:18,C,85,Poetic ,Berkeley,"Vocals, Piano, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=6oYXzpkRJME,"I can't figure out what # I'm on. Today's song is about patterns, and how we see them.",Produced,,,,Intense,https://open.spotify.com/track/03QU7zsjC1UYY9i0I26hsZ,https://itunes.apple.com/ph/album/we-are-pattern-machines/1133048770?i=1133048976,https://jonathanmann.bandcamp.com/track/we-are-pattern-machines,"Rock, Dark,Wistful, Nerd, Science"
124,5/4/2009,"Hey, Miss California",2:34,E,140,Politics,Berkeley,"Vocals, Electric Guitar, Claps  ",Shadow,https://www.youtube.com/watch?v=G-wKnV_ZTbo,"Is an ode for Carrie Prejean, fake titted Miss California turned anti-gay rights activist. I should point out that I have absolutely nothing against fake breasts or women who get them. It's really just Prejean and her fake boobs that I dislike. A lot.",Produced,,,,Happy,https://open.spotify.com/track/2ERqEzsNpCyeJtZ9jJEmgU,https://itunes.apple.com/ph/album/hey-miss-california/1133048770?i=1133048977,https://jonathanmann.bandcamp.com/track/hey-miss-california,"Folk,Funny, Famous Person, Political"
125,5/5/2009,You Deserve a Bank Like This,1:12,F,113,Commission,Berkeley,"Vocals, Acoustic Guitar, Piano, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=C2a1UfbV7G0,#126 is a jingle of sorts for a local community bank that I'm making a video for!,Produced,,,,Happy,https://open.spotify.com/track/0zbAeHvqvKq7TP9gR5gkiA,https://itunes.apple.com/ph/album/you-deserve-a-bank-like-this/1133048770?i=1133048978,https://jonathanmann.bandcamp.com/track/you-deserve-a-bank-like-this,"Rock,Political, Economy, SJW"
126,5/6/2009,BIrthday Song for Mimi Hughes,1:46,F,160,Commission,Berkeley,"Vocals, Piano, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=5XcB67lzAMM,"#127 is a song request from Bree Hughes for her mom, Mimi! Yay!",Produced,,,,Happy,https://open.spotify.com/track/2xSFsI1VITYjgrZmDMKOcU,https://itunes.apple.com/ph/album/birthday-song-for-mimi-hughes/1133048770?i=1133048979,https://jonathanmann.bandcamp.com/track/birthday-song-for-mimi-hughes,"Rock, Fun, Person, Birthday"
127,5/7/2009,Don't Give in to Madness,2:39,G,153,Poetic ,Berkeley,"Vocals, Acoustic Guitar",Clean,https://www.youtube.com/watch?v=eXYrUSMJlrw,I got a ton of requests for a song about the Santa Barbara fire. I took it in this direction.,Acoustic,,,,Pensive,https://open.spotify.com/track/7wSHC6E0yTCV0FjmYkK6ju,https://itunes.apple.com/ph/album/dont-give-in-to-madness/1133048770?i=1133048980,https://jonathanmann.bandcamp.com/track/dont-give-in-to-madness,"Folk,Motivational "
128,5/8/2009,The Pitch,2:12,F,125,Life,Berkeley,"Vocals, Acoustic Guitar, Electric Guitar",Clean,https://www.youtube.com/watch?v=-AxfNHQd-sY,#130 is a pitch for a TV show. Let me know what you think!,Produced,,,,Pensive,https://open.spotify.com/track/2FlO5I0U4CkOLF3cGvffOX,https://itunes.apple.com/ph/album/the-pitch/1133048770?i=1133049011,https://jonathanmann.bandcamp.com/track/the-pitch,"Folk,Narrative "
129,5/9/2009,Roll My Kroalnos Home,2:16,Am,90,Poetic ,Berkeley,"Vocals, Acoustic Guitar, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=NpAd2uG6CHk,#131 has a made up word in the verse/title. Kroalnos. I wanted to sing something made up to sort of match the weirdness of the video. What do you think it should mean?,Produced,,,,Intense,https://open.spotify.com/track/0oIIVInhGBCeb9d1hEjNHl,https://itunes.apple.com/ph/album/roll-my-kroalnos-home/1133048770?i=1133049012,https://jonathanmann.bandcamp.com/track/roll-my-kroalnos-home,"Rock, Dark,Backyard"
130,5/10/2009,Flying to Vienna Pt 1,0:59,Am,141,Life,Berkeley,"Vocals, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=07uO6bEpbWc,"Ivory and I are flying to Vienna today! Here's part one of a two part song, the other part of which I will upload when I land on the other side of the Atlantic ocean...",Produced,,,,Intense,https://open.spotify.com/track/4Dj4mcKw1tr24IYyGrQdyw,https://itunes.apple.com/ph/album/flying-to-vienna-pt-1/1133048770?i=1133049013,https://jonathanmann.bandcamp.com/track/flying-to-vienna-pt-1,"Rock,Narrative, Travel"
131,5/11/2009,Flying to Vienna Pt 2,0:56,Am,141,Life,Vienna,"Vocals, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=waMjI15_USw,I am so tired. Can you tell?,Produced,,,,Intense,https://open.spotify.com/track/4wKe56XCUcaPpIfF9HFrwN,https://itunes.apple.com/ph/album/flying-to-vienna-pt-2/1133048770?i=1133049014,https://jonathanmann.bandcamp.com/track/flying-to-vienna-pt-2,"Rock,Narrative, Travel"
132,5/12/2009,GameDeals Theme,0:36,C,170,Commission,Vienna,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=g_7zrWaN3oc,"So, a lot of you know that I used to host a video game show on the internet called GameJew. I got a song request from some old time fans of that show, and they wanted me to do a theme song for their new show, called ""Game Deals"". Check it out!",Produced,,,,Intense,https://open.spotify.com/track/0vSP0bmfNNpHMP6qY0k2JV,https://itunes.apple.com/ph/album/gamedeals-theme/1133048770?i=1133049015,https://jonathanmann.bandcamp.com/track/gamedeals-theme,"Electro, Distortion, Person, Narrative, Nerd, Video Games, Web Series "
133,5/13/2009,Springtime in Vienna,2:49,Db,88,Life,Vienna,"Vocals, Acoustic Guitar",Shadow,https://www.youtube.com/watch?v=bh7qn8hBpeo,"Whilst sitting in my friend's backyard here in Vienna, it struck me that I could really be anywhere, with the same sights, sounds and feelings, though the languages of the birds and children may be different. It's a strange thing to realize, that no matter where you go, you are you.",Acoustic,,,,Chill,https://open.spotify.com/track/2vWCcAtayJxNx9h07OliDq,https://itunes.apple.com/ph/album/springtime-in-vienna/1133048770?i=1133049017,https://jonathanmann.bandcamp.com/track/springtime-in-vienna,"Folk, Narrative, Place, Backyard"
134,5/14/2009,Why Do Potatoes Argue?,1:05,F,80,Food,Vienna,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=aZoUK8jtgbo,"#135 is a request from SuperDuperMan, about a bunch of potatoes arguing about what to be made into. I think it's pretty silly.",Produced,,,,Silly,https://open.spotify.com/track/4VYcczgSFwXz50Q8dJAlWN,https://itunes.apple.com/ph/album/why-do-potatoes-argue/1133048770?i=1133049018,https://jonathanmann.bandcamp.com/track/why-do-potatoes-argue,"Rock, Narrative, Funny, Nerd, Food, Potatoes"
135,5/15/2009,If You're Gonna Do It (Do It Yourself),2:36,F#,82,Poetic ,Vienna,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=2qNC7kadXHk,"A song recorded and written in a construction zone near where I gave my talk tonight (which went really well, by the way, hopefully, I'll be able to get video)...I kind of like it. I wrote it on the spot, no rehearsal. Just made it up! Yay!",Acoustic,,,,Chill,https://open.spotify.com/track/0GKf43azvLhyFVG6UxHP1t,https://itunes.apple.com/ph/album/if-youre-gonna-do-it-do-it-yourself/1133048770?i=1133049019,https://jonathanmann.bandcamp.com/track/if-youre-gonna-do-it-do-it-yourself,"Folk,Motivational "
136,5/16/2009,Old Man Sleeping By the Side of the Road,2:04,Gb,80,Poetic ,Vienna,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=UIIzeUAE5ds,"Not sure where it came from. Kind of hypnotic, methinks.",Acoustic,,,,Chill,https://open.spotify.com/track/3lKmjz622UYsttQQ2Pjf4P,https://itunes.apple.com/ph/album/old-man-sleeping-by-the-side-of-the-road/1133048770?i=1133049020,https://jonathanmann.bandcamp.com/track/old-man-sleeping-by-the-side-of-the-road,"Folk, Dark,Narrative "
137,5/17/2009,There's a Hole in His Hat,1:45,E,180,Life,Vienna,Vocals,Clean,https://www.youtube.com/watch?v=txSXoLerzRc,"This is probably the strangest song a day so far, written late one night, totally randomly, while we just hanging around talking. We filmed it over brunch at Werkzeug H here in Vienna. You can see some of Andreas Stoiber aka Krach the Robot's work at www.monochrom.at/krach ! Enjoy my totally random, sleep deprived morning.",Acoustic,,,,Silly,https://open.spotify.com/track/7zuuIZutvuOgq9fforbkKJ,https://itunes.apple.com/ph/album/theres-a-hole-in-his-hat/1133048770?i=1133049021,https://jonathanmann.bandcamp.com/track/theres-a-hole-in-his-hat,"Acapella, Person, Fun, Nerd"
138,5/18/2009,Who Will Remain (2009),3:34,F,56,Poetic ,Vienna,"Vocals, Piano, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=DNUs-sJYsDc,"""Who Will Remain?""",Produced,,,,Intense,https://open.spotify.com/track/311TjLy1afbFAN7JtAS9Iv,https://itunes.apple.com/ph/album/who-will-remain/1133048770?i=1133049022,https://jonathanmann.bandcamp.com/track/who-will-remain,"Rock, Dark,Political"
139,5/19/2009,The Botanical Gardens of the Univeristy of Vienna,2:29,Ab,117,Life,Vienna,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=g5M2Vm58r0w,"#140 was filmed at the Botanical Garden of the University of Vienna. It was written and performed in segments, as we came upon interesting spots. It's a truly remarkable place, a veritable Noah's Ark of all manner of plant life. Very beautiful and serene. I highly recommend it to any visitor of Vienna!",Acoustic,,,,Silly,https://open.spotify.com/track/5kqTXgReIcKwZGvpY4TOZk,https://itunes.apple.com/ph/album/the-botanical-gardens-of-the-univeristy-of-vienna/1133048770?i=1133049023,https://jonathanmann.bandcamp.com/track/the-botanical-gardens-of-the-univeristy-of-vienna,"Folk, Fun, Place, Botanical Garden"
140,5/20/2009,Frodo Uses the Hobbit ATM,2:15,Dm,120,Nerd,Vienna,"Vocals, Piano, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=_jotZWp0398,"Johannes, my friend here in Vienna, showed me this ATM that was very low. He called it the Hobbit ATM and suggested I write a song about it!",Produced,,,,Silly,https://open.spotify.com/track/4RuJMOtR0yParUZvI6Mw5o,https://itunes.apple.com/ph/album/frodo-uses-the-hobbit-atm/1133048770?i=1133049024,https://jonathanmann.bandcamp.com/track/frodo-uses-the-hobbit-atm,"Rock, Dark,Narrative, Fun, Nerd, Book, Hobbit, Famous Person, Frodo, Object, ATM"
141,5/21/2009,A Sleepy German Train Ride,1:11,Gb,106,Poetic ,Vienna,"Vocals, Baritone Uke",N/A,https://www.youtube.com/watch?v=vG38JS5SVj0,"We took a train today from Vienna to Cologne, where we're taking part in ANOTHER coference, this one is called Sigint: sigint.ccc.de/sigint/2009/wiki/Hauptseite",Acoustic,,,,Chill,https://open.spotify.com/track/2bW3gtE7fnmQmR2S3SfZK9,https://itunes.apple.com/ph/album/a-sleepy-german-train-ride/1133048770?i=1133049025,https://jonathanmann.bandcamp.com/track/a-sleepy-german-train-ride,"Folk,Travel"
142,5/22/2009,What Are They Gonna Do?,3:54,E,58,Politics,Vienna,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=jVQovH2QTAQ,"A song I wrote really quickly for this conference, SIGINT. Then later on, I wrote another song that was sort of a SIGINT Anthem. You'll hear that soon, and you'll even see the process of me writing it. Yay!",Acoustic,,,,Intense,https://open.spotify.com/track/3liNhcB5xnLN4g1eaKWVEz,https://itunes.apple.com/ph/album/what-are-they-gonna-do/1133048770?i=1133049026,https://jonathanmann.bandcamp.com/track/what-are-they-gonna-do,"Folk,Wistful, Nerd, Internet, Hackers"
143,5/23/2009,The CCC Anthem,1:11,Ab,130,Politics ,Vienna,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=EgHtBA-h5xo,"I wrote this live, in front of an audience, with their help. There's also a video of this process, you can see that here: http://vimeo.com/4809119",Acoustic,,,,Intense,https://open.spotify.com/track/083wALQx9qeD6srqcAGd5H,https://itunes.apple.com/ph/album/the-ccc-anthem/1133048770?i=1133049027,https://jonathanmann.bandcamp.com/track/the-ccc-anthem,"Folk,Fun, Nerd, Internet, Hackers"
144,5/24/2009,Tarsiers Are My Friends,3:34,D#,177,Animals,Vienna,"Vocals, Baritone Uke",N/A,https://www.youtube.com/watch?v=skAWxChA2HU,"What number am I on?! #147 is a song about Tarsiers, a request from a friend, Will Stenberg.",Acoustic,,,,Silly,https://open.spotify.com/track/3wSMKk3j5SmlYTyBI04H7g,https://itunes.apple.com/ph/album/tarsiers-are-my-friends/1133048770?i=1133049028,https://jonathanmann.bandcamp.com/track/tarsiers-are-my-friends,"Folk,Fun, Nerdy, Friend, Animals, Tarsiers"
145,5/25/2009,Meditation on Friends in the Key of G,3:19,C#,92,Poetic ,Vienna,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=Ordtl30Vd7s,New friends make me think of old friends make me think of all the friends that I've ever had.,Acoustic,,,,Chill,https://open.spotify.com/track/7aZS6KpYDlYB1uUBqFqB2w,https://itunes.apple.com/ph/album/meditation-on-friends-in-the-key-of-g/1133048770?i=1133049029,https://jonathanmann.bandcamp.com/track/meditation-on-friends-in-the-key-of-g,"Folk, Person, Friend"
146,5/26/2009,Floating Orb in Flame,1:11,Db,97,Life,Los Angeles,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=SWwBDvRUhfo,We flew back to the states today. Been up a long time.,Acoustic,,,,Chill,https://open.spotify.com/track/13nVR9DsVBuBRFZR90KQJq,https://itunes.apple.com/ph/album/floating-orb-in-flame/1133048770?i=1133049030,https://jonathanmann.bandcamp.com/track/floating-orb-in-flame,"Folk,Dark"
147,5/27/2009,"Goodbye Vodka, Voddy",2:12,C,140,Animals,Los Angeles,"Vocals, Synths, Drum Machine",Shadow,https://www.youtube.com/watch?v=QMliaYkuKv0,"My friend Mary's cat, Vodka, who she had from a kitten for 17 years just passed away. She had asked me to write her a song a few weeks ago...but I didn't get to it. Here you go, Mary. I hope it's a fitting tribute to the vampire kitty.",Produced,,,,Sad,https://open.spotify.com/track/5t1e9fAOfZ3eH6vv0rHNIE,https://itunes.apple.com/ph/album/goodbye-vodka-voddy/1133048770?i=1133049031,https://jonathanmann.bandcamp.com/track/goodbye-vodka-voddy,"Electro, Dark, Friend, Cats"
148,5/28/2009,The Smog Gets Thicker,1:48,F,83,Poetic ,Los Angeles,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=fNDbEnetYuw,looking in the mirror de ja vu,Acoustic,,,,Chill,https://open.spotify.com/track/2ujLPEAlWYusgMyC0DvEHz,https://itunes.apple.com/ph/album/the-smog-gets-thicker/1133048770?i=1133049032,https://jonathanmann.bandcamp.com/track/the-smog-gets-thicker,"Folk,Good"
149,5/29/2009,Terror at Arkham (Arkham Horror: a True Story),3:45,G#m,163,Nerd,Los Angeles,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=ATiFGv3rJdQ,"Some friends and I got together today to play an epic, HP Lovecraft based board game called ""Arkham Horror"". It's long, complicated, and unfortunately, only somewhat satisfying to win. It's also HARD.",Acoustic,,,,Intense,https://open.spotify.com/track/7zP77J95mFEk2Cjvxg9KKe,https://itunes.apple.com/ph/album/terror-at-arkham-arkham-horror-a-true-story/1133048770?i=1133049033,https://jonathanmann.bandcamp.com/track/terror-at-arkham-arkham-horror-a-true-story,"Folk, Dark, Narrative, Board Game, Arkham Horror, A Scary, Silly, Myth, Collab, Sci-Fi, HP Lovecraft, Ivory, Heather Peralto, Brendan Whalen, Jason Brown"
150,5/30/2009,Gladiator Meow,3:36,F,103,Poetic ,Los Angeles,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=kN6Q-UEPQe0,#151 is another request from my friend Alex. He wanted a sweet song about gay Roman Gladiators.,Produced,,,,Chill,https://open.spotify.com/track/3hMaKHzhyMMKNGaos41vsS,https://itunes.apple.com/ph/album/gladiator-meow/1133048770?i=1133049034,https://jonathanmann.bandcamp.com/track/gladiator-meow,"Folk, Narrative"
151,5/31/2009,A Letter to the Killer of George Tiller,2:39,Db,76,Politics,Los Angeles,"Vocals, Baritone Uke, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=jYnggj-E92k,"George Tiller, a doctor famous for being attacked for performing late term abortions, was shot and killed today (Sunday, May 31st) by an (as of yet) unidentified gunman...while he was walking into his church. Now, I'm not really sure how I feel about late term abortion, though I very strongly come down on the side of a woman's right to make the most difficult decisions for herself. Either way, the one thing I am one hundred percent sure of is that killing is not the answer. For further reading, please see: http://www.salon.com/mwt/broadsheet/f...",Produced,,,,Sad,https://open.spotify.com/track/7rHB8s6uaTEhq3W0a5wzIW,https://itunes.apple.com/ph/album/a-letter-to-the-killer-of-george-tiller/1133048770?i=1133049035,https://jonathanmann.bandcamp.com/track/a-letter-to-the-killer-of-george-tiller,"Folk,Dark, Frustrated, Political, George Tiller"
