number,date,title,length,inKey,tempo,topic,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,mood,spotify,itunes,bandcamp,tags
65,3/6/2009,Tetris: a History in Song,3:41,G#m,130,Video Games,Berkeley,"Vocals, Acoustic Guitar",Clean,https://www.youtube.com/watch?v=34bYJDNS6Zo,The History of Tetris! In song!!,Acoustic,,,,Intense,https://open.spotify.com/track/35ozJdC4qITVDtK33aNeUN,https://itunes.apple.com/ph/album/teris-a-history-in-song/1132700498?i=1132700707,https://jonathanmann.bandcamp.com/track/tetris-a-history-in-song,"Folk,Funny, Nerd, History, Educational, NES, Tetris, Famous Person, Alexey Pajitnov"
66,3/7/2009,Night,2:19,E,105,Poetic ,Berkeley,"Vocals, Acoustic Guitar",Clean,https://www.youtube.com/watch?v=BMobOOV0928,It's 1:30 am and I'm really tired and I wrote this song. NIGHT,Produced,,,,Pensive,https://open.spotify.com/track/4iT4gczTkKytl5a4ouHNeR,https://itunes.apple.com/ph/album/night/1132700498?i=1132700708,https://jonathanmann.bandcamp.com/track/night,"Folk,Delicate"
67,3/8/2009,"Zombie Rights, Zombie Dance",1:25,C,110,Nerd,Berkeley,"Vocals, Synths, Samples, Drum Machine",Clean,https://www.youtube.com/watch?v=40rCqT_v3hU,"Another request! About Zombie rights. But, you know, it turned into zombie dance. What can you do?",Produced,,,,Silly,https://open.spotify.com/track/5ousCKL79PAy4SSaqtQbFO,https://itunes.apple.com/ph/album/zombie-rights-zombie-dance/1132700498?i=1132700709,https://jonathanmann.bandcamp.com/track/zombie-rights-zombie-dance,"Rock,Funny, Nerd, Zombie"
68,3/9/2009,A Ringtone for Ivory King,0:30,C,170,Ringtone,Berkeley,"Vocals, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=zszgC2VeVBA,(haha) A Ringtone For Ivory. I’ve decided that I’m going to offer custom ringtones at $10 a pop. See the sidebar if you’re interested!,Produced,,,,Silly,https://open.spotify.com/track/5UMdRY5J4Vr6r9ejgcYnCc,https://itunes.apple.com/ph/album/for-ivory-king/1132700498?i=1132700710,https://jonathanmann.bandcamp.com/track/a-ringtone-for-ivory,"Rock, Personal, Ringtone"
69,3/10/2009,"Oh, It's Probably Time",0:48,G,80,Contest,Berkeley,"Vocals, Piano, Samples, Drum Machine",N/A,https://www.youtube.com/watch?v=VVoVAyXEJ68,"(?) An ad for careerbuilder.com. If we win, it's $5000. Vote for us if we make it to the final round.",Produced,,,,Chill,https://open.spotify.com/track/6KVrzKOz7bCfvhEhOgRG0c,https://itunes.apple.com/ph/album/oh-its-probably-time/1132700498?i=1132700711,https://jonathanmann.bandcamp.com/track/oh-its-probably-time,"Rock, Anthem, Wistful"
70,3/11/2009,Can We Kick It With Kikkoman (Of Course We Can!),1:01,C,120,Contest,Berkeley,"Vocals, Piano, Samples, Drum Machine",N/A,https://www.youtube.com/watch?v=60-83hmpjDw,For a Kikkoman video contest!,Produced,,,,Silly,https://open.spotify.com/track/33bbIF0znZSsTNxU5sYYbV,https://itunes.apple.com/ph/album/can-we-kick-it-kikkoman-of-course-we-can/1132700498?i=1132700712,https://jonathanmann.bandcamp.com/track/can-we-kick-it-with-kikkoman-of-course-we-can,"Rock, Fun, Bear, Company, Teddy Bear, Kikkoman"
71,3/12/2009,And They Call It Natural,1:59,C,60,Commission,Berkeley,"Vocals, Electric Guitar, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=c23PUpoZ9hE,"A song request from youtube user xkeals ""Sam"" from Australia",Produced,,,,Sad,https://open.spotify.com/track/39nhPIWI6tO2rZ3rbE1Hno,https://itunes.apple.com/ph/album/and-they-call-it-natural/1132700498?i=1132700713,https://jonathanmann.bandcamp.com/track/and-they-call-it-natural,"Rock, Wistful,  "
72,3/13/2009,Penguins Having a Party (2009),1:44,C,106,Animals,Berkeley,"Vocals, Synths, Samples, Drum Machine",Shadow,https://www.youtube.com/watch?v=QGTEGVtoXyA,A request from youtuber ZombieSlapper! Keep the requests coming!,Produced,,,,Happy,https://open.spotify.com/track/6RC5YTY9mfoJXN0R2pjgRu,https://itunes.apple.com/ph/album/penguins-having-a-party/1132700498?i=1132700714,https://jonathanmann.bandcamp.com/track/penguins-having-a-party,"Rock, Anthem,Silly, Nerd, Penguins"
73,3/14/2009,Nano Nano Nightmare,1:47,C,105,Contest,Berkeley,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=Pwf3dZSwjuk,Nanotechnologicnightmare.,Produced,,,,Silly,https://open.spotify.com/track/6CU7KYCHdqUNfWBoVUlloG,https://itunes.apple.com/ph/album/nano-nano-nightmare/1132700498?i=1132700715,https://jonathanmann.bandcamp.com/track/nano-nano-nightmare,"Rock,Contest, Narrative, Silly, Robots"
74,3/15/2009,The Number Nine,1:34,Bb,140,Kids,Berkeley,"Vocals, Synths, Drum Machine",N/A,https://www.youtube.com/watch?v=p2Cvn2hULws,A song for Sophia! She's working on adding. She's up to 9. Hope this helps!,Produced,,,,Silly,https://open.spotify.com/track/14L8xsxQxaybZ895YL4kwD,https://itunes.apple.com/ph/album/the-number-nine/1132700498?i=1132700716,https://jonathanmann.bandcamp.com/track/the-number-nine,"Electro,Fun, Nerd, Educational "
